,first_output_size,second_output_size,final_hidden_size,batch_size,epoch_num,train_accuracy,accuracy_except_0_and_1000,first_number_accuracy,second_number_accuracy
0,64,8,128,32,10,47.59,54.61,8.52,46.09
0,64,8,128,32,15,49.63,55.33,8.67,46.66
0,64,8,128,32,20,51.77,55.63,8.25,47.38
0,64,8,128,32,25,54.02,55.7,8.31,47.39
0,64,8,128,32,30,56.03,55.38,8.38,47.0
0,64,8,128,64,10,36.21,45.59,9.83,35.76
0,64,8,128,64,15,37.51,48.97,10.36,38.61
0,64,8,128,64,20,46.5,54.34,8.6,45.74
0,64,8,128,64,25,48.59,54.84,8.55,46.28
0,64,8,128,64,30,51.36,55.56,8.75,46.81
0,64,8,128,128,10,47.01,54.15,8.21,45.94
0,64,8,128,128,15,50.87,55.26,8.17,47.09
0,64,8,128,128,20,56.42,55.85,8.5,47.35
0,64,8,128,128,25,62.03,55.08,8.13,46.96
0,64,8,128,128,30,65.96,54.65,7.96,46.69
0,64,8,256,32,10,36.44,45.76,10.08,35.67
0,64,8,256,32,15,36.66,46.07,10.29,35.77
0,64,8,256,32,20,36.85,46.08,10.1,35.98
0,64,8,256,32,25,36.86,45.99,10.05,35.95
0,64,8,256,32,30,36.95,46.13,10.26,35.87
0,64,8,256,64,10,46.96,54.32,8.62,45.7
0,64,8,256,64,15,49.99,55.82,9.06,46.77
0,64,8,256,64,20,54.07,56.21,8.51,47.7
0,64,8,256,64,25,58.82,56.22,8.37,47.85
0,64,8,256,64,30,63.09,55.57,8.12,47.45
0,64,8,256,128,10,47.99,54.84,8.45,46.38
0,64,8,256,128,15,52.59,56.41,8.59,47.83
0,64,8,256,128,20,58.8,56.09,8.48,47.61
0,64,8,256,128,25,64.03,55.23,8.08,47.15
0,64,8,256,128,30,67.58,54.53,7.69,46.84
0,64,8,512,32,10,46.99,54.73,8.79,45.94
0,64,8,512,32,15,50.14,56.66,8.9,47.75
0,64,8,512,32,20,52.72,56.53,8.82,47.71
0,64,8,512,32,25,55.33,56.87,8.9,47.97
0,64,8,512,32,30,57.93,56.72,8.67,48.04
0,64,8,512,64,10,49.51,56.83,9.15,47.69
0,64,8,512,64,15,53.71,57.87,9.18,48.69
0,64,8,512,64,20,58.52,57.73,8.54,49.2
0,64,8,512,64,25,63.42,57.15,8.25,48.9
0,64,8,512,64,30,67.5,56.63,8.47,48.16
0,64,8,512,128,10,36.89,46.34,10.11,36.23
0,64,8,512,128,15,43.99,53.29,9.48,43.81
0,64,8,512,128,20,47.74,55.39,9.05,46.34
0,64,8,512,128,25,50.04,56.34,9.13,47.21
0,64,8,512,128,30,52.69,56.72,8.82,47.9
0,64,16,128,32,10,50.51,57.0,8.82,48.18
0,64,16,128,32,15,54.08,57.73,8.75,48.97
0,64,16,128,32,20,58.13,57.02,8.3,48.72
0,64,16,128,32,25,61.51,57.53,8.77,48.76
0,64,16,128,32,30,64.17,56.99,8.24,48.75
0,64,16,128,64,10,47.47,54.86,8.69,46.17
0,64,16,128,64,15,50.16,56.46,8.63,47.83
0,64,16,128,64,20,53.26,56.86,8.4,48.45
0,64,16,128,64,25,56.53,57.16,8.43,48.74
0,64,16,128,64,30,59.96,57.13,8.6,48.53
0,64,16,128,128,10,47.36,54.83,8.76,46.07
0,64,16,128,128,15,49.91,56.49,9.0,47.49
0,64,16,128,128,20,52.86,56.61,8.54,48.08
0,64,16,128,128,25,56.3,56.94,8.61,48.33
0,64,16,128,128,30,59.57,57.13,8.51,48.61
0,64,16,256,32,10,49.09,56.43,8.7,47.73
0,64,16,256,32,15,51.14,57.29,9.14,48.15
0,64,16,256,32,20,53.0,57.59,8.79,48.8
0,64,16,256,32,25,54.63,57.7,8.72,48.97
0,64,16,256,32,30,55.96,57.53,8.6,48.93
0,64,16,256,64,10,46.66,55.47,8.97,46.5
0,64,16,256,64,15,49.95,57.11,8.93,48.18
0,64,16,256,64,20,52.27,57.27,8.58,48.68
0,64,16,256,64,25,54.74,58.67,8.81,49.86
0,64,16,256,64,30,57.15,58.58,9.08,49.5
0,64,16,256,128,10,37.92,47.15,9.84,37.31
0,64,16,256,128,15,44.52,54.16,9.28,44.88
0,64,16,256,128,20,49.29,56.74,9.05,47.69
0,64,16,256,128,25,52.09,58.28,9.24,49.04
0,64,16,256,128,30,56.01,59.04,8.9,50.14
0,64,16,512,32,10,39.25,48.94,10.21,38.73
0,64,16,512,32,15,40.0,49.64,10.38,39.25
0,64,16,512,32,20,40.65,50.16,10.45,39.7
0,64,16,512,32,25,40.95,50.02,10.34,39.68
0,64,16,512,32,30,41.07,50.04,10.28,39.76
0,64,16,512,64,10,39.94,49.29,10.13,39.17
0,64,16,512,64,15,41.66,50.58,10.3,40.28
0,64,16,512,64,20,42.98,51.49,10.26,41.23
0,64,16,512,64,25,43.87,51.7,10.38,41.32
0,64,16,512,64,30,44.73,52.25,10.01,42.24
0,64,16,512,128,10,40.38,49.39,9.88,39.51
0,64,16,512,128,15,42.52,51.2,9.88,41.31
0,64,16,512,128,20,51.53,58.78,9.38,49.39
0,64,16,512,128,25,55.46,59.78,9.48,50.3
0,64,16,512,128,30,60.07,59.99,9.38,50.61
0,64,32,128,32,10,40.15,48.83,9.53,39.3
0,64,32,128,32,15,41.07,49.84,9.48,40.36
0,64,32,128,32,20,41.53,50.03,9.8,40.23
0,64,32,128,32,25,42.12,50.8,9.9,40.9
0,64,32,128,32,30,42.32,50.92,9.72,41.21
0,64,32,128,64,10,39.18,48.59,9.81,38.78
0,64,32,128,64,15,40.23,49.45,10.01,39.44
0,64,32,128,64,20,41.11,49.93,9.94,39.99
0,64,32,128,64,25,43.31,53.17,10.24,42.93
0,64,32,128,64,30,46.07,54.66,9.72,44.94
0,64,32,128,128,10,49.41,56.6,8.74,47.86
0,64,32,128,128,15,53.17,57.92,9.02,48.9
0,64,32,128,128,20,58.41,58.44,8.93,49.51
0,64,32,128,128,25,63.68,58.02,8.74,49.28
0,64,32,128,128,30,67.63,57.6,8.19,49.42
0,64,32,256,32,10,41.44,50.3,10.03,40.27
0,64,32,256,32,15,43.69,53.43,10.07,43.36
0,64,32,256,32,20,49.36,56.92,9.3,47.62
0,64,32,256,32,25,52.02,58.58,8.97,49.6
