,first_output_size,second_output_size,final_hidden_size,batch_size,epoch_num,train_accuracy,accuracy_except_0_and_1000,first_number_accuracy,second_number_accuracy
0,64,32,128,64,20,57.12,57.9,8.73,49.16
0,64,32,128,64,25,61.26,57.43,8.54,48.88
0,64,32,128,64,30,64.51,57.08,8.36,48.73
0,64,32,128,128,10,39.0,47.64,9.69,37.95
0,64,32,128,128,15,40.29,48.9,9.55,39.35
0,64,32,128,128,20,41.27,50.09,9.98,40.11
0,64,32,128,128,25,43.23,52.1,10.2,41.91
0,64,32,128,128,30,49.45,57.26,9.23,48.03
0,64,32,256,32,10,41.68,50.56,10.21,40.35
0,64,32,256,32,15,43.13,51.54,10.06,41.48
0,64,32,256,32,20,43.93,52.11,10.41,41.71
0,64,32,256,32,25,44.42,52.32,9.73,42.59
0,64,32,256,32,30,44.63,52.32,10.01,42.31
0,64,32,256,64,10,42.59,51.47,10.0,41.47
0,64,32,256,64,15,46.21,54.17,9.87,44.3
0,64,32,256,64,20,48.22,55.79,10.45,45.34
0,64,32,256,64,25,50.65,57.05,10.37,46.68
0,64,32,256,64,30,52.9,57.76,10.27,47.49
0,64,32,256,128,10,39.46,49.39,10.53,38.86
0,64,32,256,128,15,48.62,57.16,9.29,47.87
0,64,32,256,128,20,52.21,58.96,9.36,49.6
0,64,32,256,128,25,56.06,60.1,9.34,50.76
0,64,32,256,128,30,60.92,59.68,9.01,50.67
0,64,32,512,32,10,53.74,59.62,9.32,50.3
0,64,32,512,32,15,58.91,60.67,9.49,51.18
0,64,32,512,32,20,63.33,60.65,9.22,51.42
0,64,32,512,32,25,66.81,60.11,9.1,51.01
0,64,32,512,32,30,69.47,59.63,8.75,50.88
0,64,32,512,64,10,44.43,53.76,10.16,43.6
0,64,32,512,64,15,54.77,60.72,9.2,51.53
0,64,32,512,64,20,59.16,62.75,9.34,53.41
0,64,32,512,64,25,63.26,63.22,9.38,53.84
0,64,32,512,64,30,67.4,63.38,9.05,54.33
0,64,32,512,128,10,41.45,50.5,10.12,40.38
0,64,32,512,128,15,44.46,52.81,10.15,42.66
0,64,32,512,128,20,46.76,54.65,10.31,44.33
0,64,32,512,128,25,48.42,55.66,10.69,44.97
0,64,32,512,128,30,49.7,55.59,10.01,45.58
0,128,8,128,32,10,48.13,55.29,8.6,46.7
0,128,8,128,32,15,51.63,56.17,8.69,47.48
0,128,8,128,32,20,54.92,56.1,7.95,48.15
0,128,8,128,32,25,58.14,55.71,7.99,47.73
0,128,8,128,32,30,60.57,55.85,8.29,47.56
0,128,8,128,64,10,47.93,54.8,8.09,46.71
0,128,8,128,64,15,52.12,56.29,8.81,47.48
0,128,8,128,64,20,57.19,56.13,8.39,47.74
0,128,8,128,64,25,61.78,55.63,7.91,47.73
0,128,8,128,64,30,64.82,55.9,8.3,47.6
0,128,8,128,128,10,44.38,53.11,8.27,44.84
0,128,8,128,128,15,48.04,55.51,8.92,46.59
0,128,8,128,128,20,52.26,56.52,8.57,47.95
0,128,8,128,128,25,58.3,56.51,8.57,47.94
0,128,8,128,128,30,63.57,55.88,7.97,47.91
0,128,8,256,32,10,50.76,56.85,8.79,48.06
0,128,8,256,32,15,55.36,56.85,8.71,48.15
0,128,8,256,32,20,59.8,57.09,8.67,48.41
0,128,8,256,32,25,63.16,56.24,8.21,48.03
0,128,8,256,32,30,65.42,55.76,8.05,47.71
0,128,8,256,64,10,36.72,46.26,9.88,36.38
0,128,8,256,64,15,36.97,46.12,9.42,36.7
0,128,8,256,64,20,37.07,46.56,9.87,36.69
0,128,8,256,64,25,37.28,46.7,10.12,36.58
0,128,8,256,64,30,37.2,46.66,10.01,36.65
0,128,8,256,128,10,48.28,55.52,8.63,46.89
0,128,8,256,128,15,52.99,56.29,8.39,47.9
0,128,8,256,128,20,58.72,56.49,8.4,48.09
0,128,8,256,128,25,63.24,56.2,8.16,48.05
0,128,8,256,128,30,66.58,55.64,8.05,47.59
0,128,8,512,32,10,46.3,54.06,8.46,45.59
0,128,8,512,32,15,48.03,55.33,8.79,46.55
0,128,8,512,32,20,49.72,55.74,8.77,46.97
0,128,8,512,32,25,51.27,56.56,9.01,47.55
0,128,8,512,32,30,52.96,56.66,8.49,48.17
0,128,8,512,64,10,36.99,46.44,9.96,36.48
0,128,8,512,64,15,37.3,47.1,9.94,37.16
0,128,8,512,64,20,37.55,47.64,10.34,37.3
0,128,8,512,64,25,37.68,47.29,9.92,37.38
0,128,8,512,64,30,37.88,47.99,10.74,37.25
0,128,8,512,128,10,35.96,45.8,9.99,35.81
0,128,8,512,128,15,36.51,46.66,10.2,36.46
0,128,8,512,128,20,37.09,46.86,10.12,36.74
0,128,8,512,128,25,37.41,47.0,9.85,37.16
0,128,8,512,128,30,37.58,47.34,10.15,37.19
0,128,16,128,32,10,49.73,56.44,8.76,47.68
0,128,16,128,32,15,53.13,56.82,8.58,48.24
0,128,16,128,32,20,56.8,56.47,8.47,48.0
0,128,16,128,32,25,59.92,56.12,8.11,48.01
0,128,16,128,32,30,62.15,55.9,8.2,47.7
0,128,16,128,64,10,38.69,48.17,9.63,38.54
0,128,16,128,64,15,40.41,49.45,9.24,40.21
0,128,16,128,64,20,42.56,51.9,10.14,41.76
0,128,16,128,64,25,43.64,52.37,10.19,42.17
0,128,16,128,64,30,44.99,53.7,9.56,44.14
0,128,16,128,128,10,46.19,53.64,7.89,45.76
0,128,16,128,128,15,48.48,55.17,8.36,46.81
0,128,16,128,128,20,50.88,56.19,8.46,47.73
0,128,16,128,128,25,54.09,56.91,8.44,48.47
0,128,16,128,128,30,57.66,56.03,7.92,48.1
0,128,16,256,32,10,49.44,56.12,8.76,47.36
0,128,16,256,32,15,52.15,57.48,8.94,48.53
0,128,16,256,32,20,54.72,57.36,8.61,48.74
0,128,16,256,32,25,57.04,56.89,8.48,48.41
0,128,16,256,32,30,58.97,56.78,8.77,48.01
0,128,16,256,64,10,49.72,56.88,8.96,47.92
0,128,16,256,64,15,53.77,58.0,8.9,49.1
0,128,16,256,64,20,58.43,58.58,9.08,49.51
0,128,16,256,64,25,63.46,57.68,8.8,48.88
0,128,16,256,64,30,67.62,57.28,8.74,48.54
0,128,16,256,128,10,37.46,46.95,9.96,36.99
0,128,16,256,128,15,38.22,47.87,9.87,38.0
0,128,16,256,128,20,38.86,48.39,10.09,38.29
0,128,16,256,128,25,39.43,48.65,10.17,38.48
0,128,16,256,128,30,39.88,49.05,10.52,38.53
0,128,16,512,32,10,56.2,59.34,9.28,50.06
0,128,16,512,32,15,62.05,59.73,9.2,50.52
0,128,16,512,32,20,66.7,58.99,8.87,50.12
0,128,16,512,32,25,69.74,58.35,8.78,49.57
0,128,16,512,32,30,71.91,58.3,8.68,49.62
0,128,16,512,64,10,57.88,59.17,9.01,50.15
0,128,16,512,64,15,66.59,58.78,8.57,50.21
0,128,16,512,64,20,72.25,58.13,8.38,49.75
0,128,16,512,64,25,75.25,58.14,8.34,49.8
0,128,16,512,64,30,77.05,57.62,8.49,49.13
0,128,16,512,128,10,51.82,57.57,8.96,48.6
0,128,16,512,128,15,57.09,58.4,9.14,49.26
0,128,16,512,128,20,63.08,58.0,8.47,49.52
0,128,16,512,128,25,68.24,58.17,8.75,49.42
0,128,16,512,128,30,72.13,57.45,8.46,48.99
0,128,32,128,32,10,39.45,48.7,9.73,38.97
0,128,32,128,32,15,46.59,54.61,8.6,46.0
0,128,32,128,32,20,48.34,55.76,8.98,46.78
0,128,32,128,32,25,49.94,56.89,8.56,48.33
0,128,32,128,32,30,51.34,57.16,9.03,48.13
0,128,32,128,64,10,48.88,56.5,8.75,47.75
0,128,32,128,64,15,52.16,57.83,8.86,48.97
0,128,32,128,64,20,56.26,58.82,8.86,49.96
0,128,32,128,64,25,61.52,58.76,8.81,49.95
0,128,32,128,64,30,66.35,58.1,8.32,49.78
0,128,32,128,128,10,38.21,46.94,9.29,37.65
0,128,32,128,128,15,38.69,47.68,9.4,38.28
0,128,32,128,128,20,39.24,49.13,10.08,39.05
0,128,32,128,128,25,48.16,56.09,8.71,47.39
0,128,32,128,128,30,50.75,57.06,8.68,48.38
0,128,32,256,32,10,40.4,49.78,10.15,39.63
0,128,32,256,32,15,41.62,50.78,9.91,40.87
0,128,32,256,32,20,42.29,50.7,9.8,40.9
0,128,32,256,32,25,42.58,51.14,9.72,41.42
0,128,32,256,32,30,42.68,51.54,9.73,41.81
0,128,32,256,64,10,41.85,51.0,9.47,41.53
0,128,32,256,64,15,49.22,56.71,8.83,47.87
0,128,32,256,64,20,52.14,58.38,9.43,48.95
0,128,32,256,64,25,55.29,58.93,9.04,49.9
0,128,32,256,64,30,58.79,59.33,9.06,50.27
0,128,32,256,128,10,42.27,51.1,9.53,41.56
0,128,32,256,128,15,43.91,51.72,9.66,42.06
0,128,32,256,128,20,50.56,56.95,8.96,47.98
0,128,32,256,128,25,53.16,58.61,8.82,49.79
0,128,32,256,128,30,55.92,59.53,9.3,50.22
0,128,32,512,32,10,50.96,58.44,9.27,49.17
0,128,32,512,32,15,53.64,59.2,9.14,50.06
0,128,32,512,32,20,55.81,59.52,8.9,50.62
0,128,32,512,32,25,57.57,59.82,9.02,50.8
0,128,32,512,32,30,58.99,59.85,8.82,51.03
0,128,32,512,64,10,54.62,59.63,9.35,50.28
0,128,32,512,64,15,60.23,60.79,9.44,51.35
0,128,32,512,64,20,65.81,60.94,9.11,51.83
0,128,32,512,64,25,70.55,60.65,9.03,51.62
0,128,32,512,64,30,74.17,60.27,8.92,51.35
0,128,32,512,128,10,54.71,59.47,9.53,49.94
0,128,32,512,128,15,62.21,60.74,9.67,51.06
0,128,32,512,128,20,69.3,60.07,9.08,50.99
