,first_output_size,second_output_size,final_hidden_size,batch_size,epoch_num,train_accuracy,accuracy_except_0_and_1000,first_number_accuracy,second_number_accuracy
0,64,32,128,64,20,49.64,57.3,9.16,48.15
0,64,32,128,64,25,52.12,58.48,8.95,49.53
0,64,32,128,64,30,54.47,59.18,8.79,50.39
0,64,32,128,128,10,39.22,48.43,9.86,38.56
0,64,32,128,128,15,40.11,49.43,10.39,39.04
0,64,32,128,128,20,40.98,50.16,10.3,39.87
0,64,32,128,128,25,41.51,50.27,10.58,39.69
0,64,32,128,128,30,42.11,51.19,10.42,40.77
0,64,32,256,32,10,41.63,50.81,10.16,40.65
0,64,32,256,32,15,42.71,51.11,9.71,41.39
0,64,32,256,32,20,43.4,51.14,9.95,41.2
0,64,32,256,32,25,43.73,51.64,9.87,41.77
0,64,32,256,32,30,44.04,52.04,10.22,41.81
0,64,32,256,64,10,51.49,58.54,9.32,49.21
0,64,32,256,64,15,55.16,59.43,9.08,50.35
0,64,32,256,64,20,59.06,60.01,8.94,51.06
0,64,32,256,64,25,63.01,60.03,9.14,50.89
0,64,32,256,64,30,66.39,59.8,8.97,50.83
0,64,32,256,128,10,44.44,55.61,9.28,46.33
0,64,32,256,128,15,51.97,58.64,9.19,49.45
0,64,32,256,128,20,56.47,59.6,9.14,50.46
0,64,32,256,128,25,61.95,59.58,9.06,50.52
0,64,32,256,128,30,67.25,59.12,8.74,50.38
0,64,32,512,32,10,42.62,51.73,10.79,40.94
0,64,32,512,32,15,44.32,53.06,10.72,42.34
0,64,32,512,32,20,45.32,53.65,10.72,42.93
0,64,32,512,32,25,45.87,54.26,10.77,43.49
0,64,32,512,32,30,46.28,54.1,10.37,43.74
0,64,32,512,64,10,42.94,52.17,10.19,41.98
0,64,32,512,64,15,45.65,53.47,10.41,43.06
0,64,32,512,64,20,47.41,54.5,10.44,44.06
0,64,32,512,64,25,48.65,54.97,10.26,44.71
0,64,32,512,64,30,49.52,55.96,10.75,45.21
0,64,32,512,128,10,45.54,55.01,10.07,44.94
0,64,32,512,128,15,52.05,59.47,9.66,49.81
0,64,32,512,128,20,55.07,60.94,10.14,50.8
0,64,32,512,128,25,57.8,62.27,9.99,52.28
0,64,32,512,128,30,60.47,62.56,9.73,52.83
0,128,8,128,32,10,36.72,45.43,9.24,36.19
0,128,8,128,32,15,36.97,46.2,9.58,36.62
0,128,8,128,32,20,43.31,52.65,9.5,43.15
0,128,8,128,32,25,46.73,54.61,8.33,46.28
0,128,8,128,32,30,48.43,54.74,8.27,46.47
0,128,8,128,64,10,36.39,45.38,9.71,35.67
0,128,8,128,64,15,36.5,45.69,9.64,36.05
0,128,8,128,64,20,36.71,46.08,9.78,36.3
0,128,8,128,64,25,36.89,46.19,9.62,36.58
0,128,8,128,64,30,44.4,52.72,8.81,43.91
0,128,8,128,128,10,46.7,54.45,8.44,46.02
0,128,8,128,128,15,49.8,55.88,8.57,47.31
0,128,8,128,128,20,54.24,55.65,7.96,47.69
0,128,8,128,128,25,59.33,55.47,7.96,47.52
0,128,8,128,128,30,63.22,55.27,7.95,47.32
0,128,8,256,32,10,47.26,55.07,8.68,46.4
0,128,8,256,32,15,48.95,55.62,8.55,47.07
0,128,8,256,32,20,50.46,55.96,8.8,47.15
0,128,8,256,32,25,51.92,56.01,8.71,47.3
0,128,8,256,32,30,53.07,56.15,8.52,47.63
0,128,8,256,64,10,36.38,45.8,9.81,35.98
0,128,8,256,64,15,36.74,46.17,10.15,36.03
0,128,8,256,64,20,36.92,46.5,10.68,35.83
0,128,8,256,64,25,37.09,46.22,10.22,36.0
0,128,8,256,64,30,37.15,46.72,10.29,36.43
0,128,8,256,128,10,46.55,54.98,8.69,46.28
0,128,8,256,128,15,50.18,56.24,8.25,47.99
0,128,8,256,128,20,55.47,56.96,8.5,48.46
0,128,8,256,128,25,61.32,56.68,8.32,48.36
0,128,8,256,128,30,65.74,55.96,7.98,47.98
0,128,8,512,32,10,52.38,57.08,8.24,48.84
