Trace,Baseline,Accuracy,Coverage,MPKI,MPKI_Improvement,IPC,IPC_Improvement,,Trace,Baseline,Accuracy,Coverage,MPKI,MPKI_Improvement,IPC,IPC_Improvement
437.leslie3d-s1.trace.gz,bo,94.40460115,56.98118707,11.33543992,56.99032766,0.875459,77.78019206,,,,,,,,,
437.leslie3d-s1.trace.gz,sisb,94.57839259,40.00195709,15.79847656,40.05638026,0.723877,46.99830842,,,,,,,,,
437.leslie3d-s1.trace.gz,sisb_bo,94.51011966,49.73195729,13.24139325,49.7586341,0.825757,67.68716531,,,,,,,,,
437.leslie3d-s2.trace.gz,no,N/A,0,25.39082983,N/A,0.466747,N/A,,,,,,,,,
437.leslie3d-s2.trace.gz,bo,93.04006878,56.87001791,10.96446659,56.90732705,0.861314,84.53551924,,,,,,,,,
437.leslie3d-s2.trace.gz,sisb,94.40245662,37.69392355,15.82898333,37.78874773,0.701326,50.25827697,,,,,,,,,
437.leslie3d-s2.trace.gz,sisb_bo,93.70658409,49.25214464,12.89672325,49.31314969,0.807064,72.91252006,,,,,,,,,
450.soplex-s0.trace.gz,yours,35.67223158,26.84878458,25.81056983,20.29267784,0.343122,7.909162099,,,,,,,,,
450.soplex-s0.trace.gz,no,N/A,0,32.37754978,N/A,0.317973,N/A,,,,,,,,,
450.soplex-s0.trace.gz,bo,58.25514506,39.28805795,21.18638319,34.57293342,0.370703,16.58316901,,,,,,,,,
450.soplex-s0.trace.gz,sisb,84.95469429,46.30080288,17.88242321,44.77611003,0.43872,37.97397892,,,,,,,,,
450.soplex-s0.trace.gz,sisb_bo,69.18274761,50.77587705,17.03745989,47.38549698,0.443379,39.43919767,,,,,,,,,
450.soplex-s1.trace.gz,no,N/A,0,33.85214644,N/A,0.308299,N/A,,,,,,,,,
450.soplex-s1.trace.gz,bo,61.34430234,43.24893884,20.5007532,39.44704085,0.373608,21.18365613,,,,,,,,,
450.soplex-s1.trace.gz,sisb,85.87153497,48.87453982,17.77847988,47.4878042,0.438587,42.26027331,,,,,,,,,
450.soplex-s1.trace.gz,sisb_bo,71.28017349,54.1031269,16.46919322,51.35503682,0.447093,45.01928323,,,,,,,,,
450.soplex-s2.trace.gz,no,N/A,0,26.38822982,N/A,0.352731,N/A,,,,,,,,,
450.soplex-s2.trace.gz,bo,56.1406581,40.33807511,16.73821656,36.57953486,0.41641,18.05313397,,,,,,,,,
450.soplex-s2.trace.gz,sisb,87.77634804,44.31432451,14.74373657,44.13654358,0.493128,39.8028526,,,,,,,,,
450.soplex-s2.trace.gz,sisb_bo,67.36791819,51.15563128,13.55011324,48.6591369,0.499237,41.53476729,,,,,,,,,
459.GemsFDTD-s0.trace.gz,yours,76.6487676,56.23107793,15.18801,56.17948319,0.476417,56.55750095,,,,,,,,,
