Trace,Baseline,Accuracy,Coverage,MPKI,MPKI_Improvement,IPC,IPC_Improvement
410.bwaves-s2.trace.gz,bo,97.59365600218759,7.7078129161837445,0.42734666381768893,7.819959735404088,1.44525,0.8872352604464796
410.bwaves-s2.trace.gz,sisb,62.5,0.007198335744775808,0.4630366635797556,0.1215127983894228,1.43258,0.002792243148536167
410.bwaves-s2.trace.gz,sisb_bo,98.24658545588778,7.6640102513156085,0.4275433304830445,7.777538107563994,1.44518,0.8823488349365453
471.omnetpp-s2.trace.gz,no,N/A,0.0,7.468323308438922,N/A,0.444527,N/A
471.omnetpp-s2.trace.gz,yours,96.31808874437824,31.27647833785495,5.367739982107533,28.126571916855948,0.450459,1.3344521255176833
471.omnetpp-s2.trace.gz,bo,16.766852581001498,2.699185040529778,8.918689970271034,-19.420244704634737,0.442467,-0.46341392086420086
471.omnetpp-s2.trace.gz,sisb,99.42067102644299,40.779021472059284,4.468589985104701,40.16608814919189,0.460285,3.5448915363971127
471.omnetpp-s2.trace.gz,sisb_bo,31.23576609405721,33.365667390121054,16.085763279714122,-115.38654146825458,0.44375,-0.17479253228713387
450.soplex-s1.trace.gz,no,N/A,0.0,33.85214644098569,N/A,0.308299,N/A
450.soplex-s1.trace.gz,yours,98.3820613852995,33.81619967873383,22.431659850455603,33.743732752886444,0.387573,25.713349702723658
450.soplex-s1.trace.gz,bo,61.34430233655422,43.248938840290855,20.50075319666165,39.447040851168055,0.373608,21.183656126033494
450.soplex-s1.trace.gz,sisb,85.87153497295884,48.8745398171404,17.7784798814768,47.48780419605757,0.438587,42.26027330610869
450.soplex-s1.trace.gz,sisb_bo,71.28017348626344,54.1031268996904,16.469193223538714,51.355036816815414,0.447093,45.01928322829462
462.libquantum-s0.trace.gz,no,N/A,0.0,29.620216567932612,N/A,0.532019,N/A
462.libquantum-s0.trace.gz,yours,99.9995232380906,47.20813462335301,15.637066614543112,47.20812868238078,0.690261,29.743674568013546
462.libquantum-s0.trace.gz,bo,99.99492794363618,86.5264771302033,3.9908866267578,86.5264771302033,0.989077,85.91008967724835
462.libquantum-s0.trace.gz,sisb,100.0,23.15501855995877,22.761649924127834,23.15501855995877,0.677222,27.292822248829452
462.libquantum-s0.trace.gz,sisb_bo,99.99547888650815,52.02016280320223,14.21173328596089,52.020157403755206,0.908286,70.7243538294685
473.astar-s0.trace.gz,no,N/A,0.0,1.4599099902672668,N/A,1.00784,N/A
473.astar-s0.trace.gz,yours,95.40764128007393,39.240274371759256,0.8952499940316667,38.67786672268217,1.08115,7.273972059056991
473.astar-s0.trace.gz,bo,N/A,0.0,1.4599099902672668,0.00022832405576857977,1.00784,0.0
473.astar-s0.trace.gz,sisb,88.66579249303392,29.169849643656363,1.0508266596611557,28.021298067921833,1.06225,5.39867439276074
473.astar-s0.trace.gz,sisb_bo,88.66579249303392,29.169849643656363,1.0508266596611557,28.021298067921833,1.06225,5.39867439276074
471.omnetpp-s0.trace.gz,no,N/A,0.0,10.194286666666667,N/A,0.545717,N/A
471.omnetpp-s0.trace.gz,yours,83.80255602078375,27.54740250617793,8.38918,17.70704244141981,0.546362,0.11819312940590208
471.omnetpp-s0.trace.gz,bo,N/A,0.0,10.194286666666667,0.0,0.545717,0.0
471.omnetpp-s0.trace.gz,sisb,99.90266527800628,47.40470504693582,5.3673866666666665,47.349070688614475,0.586607,7.4928946688485025
471.omnetpp-s0.trace.gz,sisb_bo,27.0195175659946,32.35585094989236,12.200233333333333,-19.6771655757506,0.576351,5.613532288713736
470.lbm-s0.trace.gz,no,N/A,0.0,31.724729788501804,N/A,0.577624,N/A
470.lbm-s0.trace.gz,yours,99.9997088668954,7.218015550849799,29.43484323521719,7.221271484581028,0.621798,7.647535420965876
470.lbm-s0.trace.gz,bo,99.97001113871991,23.047100039580044,24.413109837245937,23.049792409051037,0.725577,25.614067282522885
470.lbm-s0.trace.gz,sisb,N/A,0.0,31.724729788501804,0.003540750571874368,0.577624,0.0
470.lbm-s0.trace.gz,sisb_bo,99.97871636563268,17.718905392657803,26.103463159310248,17.72179282595603,0.705454,22.130313144883175
470.lbm-s1.trace.gz,no,N/A,0.0,29.982779700172202,N/A,0.604662,N/A
470.lbm-s1.trace.gz,yours,100.0,7.376222020748574,27.7711863889548,7.3790022462217,0.652757,7.954030516222285
470.lbm-s1.trace.gz,bo,99.97360051411553,23.071573853216872,23.0652831026805,23.073882961899837,0.7659,26.665806682080234
470.lbm-s1.trace.gz,sisb,N/A,0.0,29.982779700172202,0.0030127497122010047,0.604662,0.0
470.lbm-s1.trace.gz,sisb_bo,99.98261488609896,17.518800235779782,24.730156419365102,17.521285187888296,0.743686,22.99201868151131
482.sphinx3-s0.trace.gz,no,N/A,0.0,12.496523291678256,N/A,0.661523,N/A
482.sphinx3-s0.trace.gz,yours,99.6748029608476,50.8181164867651,6.143353312855489,50.85667233826284,0.900058,36.05845904072875
482.sphinx3-s0.trace.gz,bo,78.28970880613639,71.3148599270788,3.630296654565678,70.95969433642992,1.09398,65.37293487905939
482.sphinx3-s0.trace.gz,sisb,96.2300861437349,76.52939784480843,2.9391366568695445,76.48858067972226,1.18295,78.8222027049702
482.sphinx3-s0.trace.gz,sisb_bo,85.30766350268146,75.05636857943782,3.1469799895100667,74.82595239218968,1.16479,76.07702226528784
437.leslie3d-s1.trace.gz,no,N/A,0.0,26.311779824588136,N/A,0.492439,N/A
437.leslie3d-s1.trace.gz,yours,99.84949983105543,24.48313421332267,19.870329867531137,24.606686406966872,0.590101,19.832304102640116
437.leslie3d-s1.trace.gz,bo,94.40460114798157,56.98118706821567,11.335439924430402,56.99032765761759,0.875459,77.78019206439781
